ROE,EPS,FCF,Dividend,Income,CPI index,GDP,10-year treasury,direction
0.1,11.61,-0.02,44,0.06,263.21,214,0.0208 ,0
0.1,13.42,-0.38,25,0.07,267.7,210,0.0082 ,0
0.09,2.53,0.08,1.71,0.08,221.34,150,0.0308 ,0
0.11,4.02,0.08,1.85,0.13,225.01,155,0.0267 ,0
0.08,2.6,0.02,1.88,0.08,229.76,162,0.0169 ,0
0.09,3.04,0,1.95,0.1,233.81,168,0.0242 ,0
0.1,3.34,-0.02,2.03,0.1,237.9,175,0.0269 ,0
0.1,4.17,0.01,2.15,0.12,242.26,182,0.0188 ,0
0.04,1.24,-0.15,2.27,0.04,247.6,187,0.0186 ,0
0.11,3.88,0,2.39,0.12,252.15,195,0.0234 ,0
0.1,3.9,-0.13,2.53,0.12,257.56,206,0.0289 ,0
0.1,3.88,-0.07,2.71,0.12,263.21,214,0.0208 ,1
0.11,4.42,-0.15,2.84,0.15,267.7,210,0.0082 ,1
0.06,3,-0.06,2.91,0.09,221.34,150,0.0308 ,0
0.08,3.83,-0.04,2.97,0.12,225.01,155,0.0267 ,0
0.05,3.07,-0.09,3.03,0.1,229.76,162,0.0169 ,0
0.06,3.76,0.02,3.09,0.12,233.81,168,0.0242 ,0
0.06,2.66,0.04,3.15,0.09,237.9,175,0.0269 ,1
0.07,4.05,0.07,3.24,0.13,242.26,182,0.0188 ,0
0.06,3.11,0.05,3.36,0.1,247.6,187,0.0186 ,0
0.07,4.36,-0.02,3.49,0.13,252.15,195,0.0234 ,1
0.06,3.76,-0.05,3.64,0.11,257.56,206,0.0289 ,0
0.08,5.06,-0.07,3.75,0.15,263.21,214,0.0208 ,1
0.02,1.72,0.01,3.82,0.06,267.7,210,0.0082 ,0
0.14,5.51,-0.03,1.56,0.13,221.34,150,0.0308 ,0
0.09,3.48,-0.25,1.92,0.09,225.01,155,0.0267 ,0
0.1,4.01,-0.04,2.4,0.1,229.76,162,0.0169 ,0
0.11,4.63,-0.12,2.52,0.11,233.81,168,0.0242 ,0
0.12,5.37,0.06,2.64,0.13,237.9,175,0.0269 ,0
0.11,5.46,-0.2,2.8,0.14,242.26,182,0.0188 ,0
0.03,1.01,-0.08,3.02,0.03,247.6,187,0.0186 ,0
0.05,3.42,-0.1,3.29,0.1,252.15,195,0.0234 ,1
0.1,7.29,0,3.58,0.2,257.56,206,0.0289 ,0
0.1,12.88,-0.11,3.87,0.35,263.21,214,0.0208 ,1
0.03,-0.03,0,4.18,0.06,267.7,210,0.0082 ,0
0.02,-0.05,0,0.12,0.08,221.34,150,0.0308 ,0
0.01,-0.07,0,0.2,0.04,225.01,155,0.0267 ,0
0.02,-0.21,0,0.28,-0.05,229.76,162,0.0169 ,0
0.05,0.14,0,0.36,0.05,233.81,168,0.0242 ,0
0.02,0.66,0,0.48,0.12,237.9,175,0.0269 ,0
0.03,0.01,0.13,0.56,0.01,242.26,182,0.0188 ,1
0.07,0.83,-0.22,0.7,0.12,247.6,187,0.0186 ,1
0.14,1.04,-0.12,0.78,0.18,252.15,195,0.0234 ,1
0.2,1.58,-0.25,0.85,0.35,257.56,206,0.0289 ,0
0.06,0.66,-0.29,0.88,0.22,263.21,214,0.0208 ,1
0.19,2.24,0.74,0.9,0.52,267.7,210,0.0082 ,0
0.1,3.7,-0.83,0.2,0.05,221.34,150,0.0308 ,0
0.11,4.63,1.99,0.3,0.05,225.01,155,0.0267 ,1
0.13,5.98,-0.04,0.4,0.06,229.76,162,0.0169 ,0
0.17,8.52,0.8,0.44,0.07,233.81,168,0.0242 ,0
0.17,9.65,-0.94,0.48,0.07,237.9,175,0.0269 ,0
0.13,7.23,0,0.56,0.05,242.26,182,0.0188 ,1
0.09,6.03,0,0.64,0.04,247.6,187,0.0186 ,0
0.14,10.54,-0.31,0.72,0.03,252.15,195,0.0234 ,0
0.12,10.87,-0.54,0.82,0.05,257.56,206,0.0289 ,1
0.08,7.7,0,0,0.05,263.21,214,0.0208 ,1
0.16,18.47,0,0,0.09,267.7,210,0.0082 ,0
0.03,0.06,0,0,0.06,221.34,150,0.0308 ,0
0.01,0.04,0.88,0,0.03,225.01,155,0.0267 ,0
0.03,0.11,0.42,0,0.07,229.76,162,0.0169 ,0
0.04,0.15,0.29,0,0.08,233.81,168,0.0242 ,0
0,-0.01,0.06,0,-0.01,237.9,175,0.0269 ,0
0.05,0.26,0.41,0,0.1,242.26,182,0.0188 ,0
0.06,0.37,0.12,0,0.13,247.6,187,0.0186 ,0
0.08,0.65,0.45,0,0.2,252.15,195,0.0234 ,0
0.1,0.86,0.34,0,0.23,257.56,206,0.0289 ,0
0.05,0.59,0.11,0,0.14,263.21,214,0.0208 ,0
0.05,0.74,-0.05,0,0.15,267.7,210,0.0082 ,0
0.35,0.55,0.19,0,0.21,221.34,150,0.0308 ,0
0.42,0.99,0.19,0,0.24,225.01,155,0.0267 ,0
0.43,1.58,0.2,0.1893,0.27,229.76,162,0.0169 ,1
0.31,1.42,0.18,0.4214,0.22,233.81,168,0.0242 ,0
0.34,1.61,0.2,0.4614,0.22,237.9,175,0.0269 ,0
0.46,2.31,0.24,0.5075,0.23,242.26,182,0.0188 ,1
0.37,2.08,0.21,0.5575,0.21,247.6,187,0.0186 ,0
0.37,2.3,0.18,0.615,0.21,252.15,195,0.0234 ,0
0.49,2.98,0.19,0.705,0.22,257.56,206,0.0289 ,0
0.56,2.97,0.17,0.76,0.21,263.21,214,0.0208 ,0
0.74,3.28,0.23,0.8075,0.21,267.7,210,0.0082 ,0
0.44,2.32,0.31,0.55,0.3,221.34,150,0.0308 ,1
0.45,2.75,0.25,0.68,0.33,225.01,155,0.0267 ,0
0.28,1.85,0.32,0.83,0.23,229.76,162,0.0169 ,0
0.3,2.67,0.26,0.97,0.28,233.81,168,0.0242 ,0
0.26,2.55,0.28,1.15,0.25,237.9,175,0.0269 ,0
0.14,1.55,0.23,1.29,0.13,242.26,182,0.0188 ,0
0.27,2.67,0.23,1.47,0.23,247.6,187,0.0186 ,0
0.32,3.37,0.17,1.59,0.26,252.15,195,0.0234 ,0
0.19,2.43,0.24,1.72,0.15,257.56,206,0.0289 ,0
0.42,5.3,0.26,1.89,0.31,263.21,214,0.0208 ,0
0.42,6.2,0.25,2.09,0.31,267.7,210,0.0082 ,0
0.19,2.48,0.07,0,0.03,221.34,150,0.0308 ,0
0.09,1.9,0.04,0,0.01,225.01,155,0.0267 ,0
0,0.07,0.02,0,0,229.76,162,0.0169 ,0
0.03,0.29,0.04,0,0,233.81,168,0.0242 ,0
-0.02,-0.47,0.05,0,0,237.9,175,0.0269 ,0
0.05,0.71,0.06,0,0.01,242.26,182,0.0188 ,0
0.15,4.38,0.07,0,0.02,247.6,187,0.0186 ,0
0.13,3.93,0.06,0,0.02,252.15,195,0.0234 ,0
0.28,17.84,0.11,0,0.04,257.56,206,0.0289 ,0
0.22,22.59,0.07,0,0.04,263.21,214,0.0208 ,0
0.27,34.15,0.1,0,0.06,267.7,210,0.0082 ,0
-4.6704,-52,-2.9806,0,0.4464,237.9023333,175,0.0269 ,1
-1.4699,-27,2.4051,0,0.1677,242.2575,182,0.0188 ,1
-1.6756,-42,0.0021,0,0.3146,247.6035833,187,0.0186 ,1
-2.3441,-28.5,-0.0917,0,0.3576,252.1525,195,0.0234 ,1
-4.0774,-27,0.4872,0,0.4727,257.5615,206,0.0289 ,1
0,-45,-0.0323,0,0.0196,263.2050833,214,0.0208 ,0
0.082925,4.6,0,2.36,0.083333333,221.3358333,150,0.0308 ,0
0.12555,4.6,0,2.4,0.069444444,225.0064167,155,0.0267 ,1
0.03595,1.04,0,2.56,0.019230769,229.7568333,162,0.0169 ,1
0.01045,-0.44,0,2.56,-0.007633588,233.8104167,168,0.0242 ,0
0.002975,0.92,0,2.56,0.016806723,237.9023333,175,0.0269 ,1
-0.065325,-4.44,0,2.56,-0.092592593,242.2575,182,0.0188 ,1
-0.137075,-3.68,0,1.6,-0.080808081,247.6035833,187,0.0186 ,1
-0.186025,-5.28,0,0.64,-0.146341463,252.1525,195,0.0234 ,1
0.1,2.06,0.11,0.08,0.05,221.3358333,150,0.0289 ,0
0.12,3.33,-0.03,0.12,0.05,225.0064167,155,0.0208 ,0
0.16,5.75,0.04,0.16,0.08,229.7568333,162,0.0082 ,0
0.15,5.99,0.05,0.16,0.08,233.8104167,168,0.0242 ,1
0.1,3.99,0.01,0.16,0.05,237.9023333,175,0.0269 ,1
0.11,4.7,0.08,0.16,0.06,242.2575,182,0.0188 ,1
-0.68,-21.29,0.07,0.16,-0.27,247.6035833,187,0.0186 ,1
-0.05,-0.87,0.1,0.16,-0.01,252.1525,195,0.0234 ,1
-0.66,-8.6,-0.08,0.16,-0.13,257.5615,206,0.0289 ,0
0,-6.58,0.26,0.16,-0.1,263.2050833,214,0.0208 ,1
0,-0.58,0.09,0.04,-0.01,267.6983333,210,0.0082 ,0
-0.48,-1.57,-0.03,0,-0.1,221.3358333,150,0.0308 ,0
-0.41,-1.35,-0.04,0,-0.08,225.0064167,155,0.0267 ,1
0.08,-0.05,-0.06,0,0,229.7568333,162,0.0169 ,0
0.44,1.99,-0.03,0,0.09,233.8104167,168,0.0242 ,0
0.26,1.64,-0.34,0,0.07,237.9023333,175,0.0269 ,1
-0.07,-0.5,0.23,0,-0.03,242.2575,182,0.0188 ,1
-0.53,-3.28,-0.05,0,-0.35,247.6035833,187,0.0186 ,1
-0.52,-2.02,-0.05,0,-0.19,252.1525,195,0.0234 ,0
-0.63,-1.66,0.04,0,-0.14,257.5615,206,0.0289 ,1
-5.52,-2.06,0.21,0,-0.18,263.2050833,214,0.0208 ,1
0,-0.6,0.01,0,-0.16,267.6983333,210,0.0082 ,1
-0.48,-1.57,-0.03,0,-0.1,221.3358333,150,0.0308 ,0
-0.41,-1.35,-0.04,0,-0.08,225.0064167,155,0.0267 ,1
0.08,-0.05,-0.06,0,0,229.7568333,162,0.0169 ,0
0.44,1.99,-0.03,0,0.09,233.8104167,168,0.0242 ,1
0.26,1.64,-0.34,0,0.07,237.9023333,175,0.0269 ,1
-0.07,-0.5,0.23,0,-0.03,242.2575,182,0.0188 ,1
-0.53,-3.28,-0.05,0,-0.35,247.6035833,187,0.0186 ,1
-0.52,-2.02,-0.05,0,-0.19,252.1525,195,0.0234 ,1
-0.63,-1.66,0.04,0,-0.14,257.5615,206,0.0289 ,1
-5.52,-2.06,0.21,0,-0.18,263.2050833,214,0.0208 ,1
0,-0.6,0.01,0,-0.16,267.6983333,210,0.0082 ,0
0.49 ,1.71,-0.2568,0,-0.0882 ,221.3358333,150,0.0308 ,1
0.26 ,1.28,-1.3513,0,0.0058 ,225.0064167,155,0.0267 ,1
0.16 ,0.95,0.2977,0,0.0084 ,229.7568333,162,0.0169 ,0
0.12 ,0.77,-3.7985,0,0.0186 ,233.8104167,168,0.0242 ,0
0.11 ,0.82,-1.5444,0,0.0295 ,237.9023333,175,0.0269 ,0
0.12 ,1,-0.5096,1.5,0.0351 ,242.2575,182,0.0188 ,1
0.12 ,0.94,-3.3611,0,0.0315 ,247.6035833,187,0.0186 ,1
0.09 ,0.68,-2.2449,0,0.0308 ,252.1525,195,0.0234 ,1
0.04 ,0.33,-0.1732,0,0.0444 ,257.5615,206,0.0289 ,1
0.03 ,0.24,-0.7596,0,0.0636 ,263.2050833,214,0.0208 ,0
-0.51 ,-3.79,0.1233,0,0.0851 ,267.6983333,210,0.0082 ,0
