sectors,ROE,EPS,FCF,Dividend,Income,CPI index,GDP,10-year treasury,direction
2,0.06,0.37,0.12,0,0.13,247.6,187,187.45,0
2,0.08,0.65,0.45,0,0.2,252.15,195,195.43,0
2,0.1,0.86,0.34,0,0.23,257.56,206,206.12,0
2,0.05,0.59,0.11,0,0.14,263.21,214,214.33,0
2,0.05,0.74,-0.05,0,0.15,267.7,210,209.53,0
3,0.35,0.55,0.19,0,0.21,221.34,150,149.92,0
3,0.42,0.99,0.19,0,0.24,225.01,155,155.43,0
3,0.43,1.58,0.2,0,0.27,229.76,162,161.97,1
3,0.31,1.42,0.18,3.32,0.22,233.81,168,167.85,0
3,0.34,1.61,0.2,0.11,0.22,237.9,175,175.27,0
3,0.46,2.31,0.24,0.09,0.23,242.26,182,182.38,1
3,0.37,2.08,0.21,0.1,0.21,247.6,187,187.45,0
3,0.37,2.3,0.18,0.1,0.21,252.15,195,195.43,0
3,0.49,2.98,0.19,0.13,0.22,257.56,206,206.12,0
3,0.56,2.97,0.17,0.1,0.21,263.21,214,214.33,0
3,0.74,3.28,0.23,0.06,0.21,267.7,210,209.53,0
3,0.44,2.32,0.31,0,0.3,221.34,150,149.92,1
3,0.45,2.75,0.25,0.23,0.33,225.01,155,155.43,0
3,0.28,1.85,0.32,0.25,0.23,229.76,162,161.97,0
3,0.3,2.67,0.26,0.15,0.28,233.81,168,167.85,0
3,0.26,2.55,0.28,0.22,0.25,237.9,175,175.27,0
3,0.14,1.55,0.23,0.11,0.13,242.26,182,182.38,0
3,0.27,2.67,0.23,0.16,0.23,247.6,187,187.45,0
3,0.32,3.37,0.17,0.08,0.26,252.15,195,195.43,0
3,0.19,2.43,0.24,0.08,0.15,257.56,206,206.12,0
3,0.42,5.3,0.26,0.1,0.31,263.21,214,214.33,0
3,0.42,6.2,0.25,0.11,0.31,267.7,210,209.53,0
3,0.19,2.48,0.07,0,0.03,221.34,150,149.92,0
3,0.09,1.9,0.04,0,0.01,225.01,155,155.43,0
3,0,0.07,0.02,0,0,229.76,162,161.97,0
3,0.03,0.29,0.04,0,0,233.81,168,167.85,0
3,-0.02,-0.47,0.05,0,0,237.9,175,175.27,0
3,0.05,0.71,0.06,0,0.01,242.26,182,182.38,0
3,0.15,4.38,0.07,0,0.02,247.6,187,187.45,0
3,0.13,3.93,0.06,0,0.02,252.15,195,195.43,0
3,0.28,17.84,0.11,0,0.04,257.56,206,206.12,0
3,0.22,22.59,0.07,0,0.04,263.21,214,214.33,0
3,0.27,34.15,0.1,0,0.06,267.7,210,209.53,0
